"","period","nsampled","treatment","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
"223","223","8","control","0","18","3","0","0","0","0","0","0","3","0","0","0","0","15","0","0","0","0","0","0"
"224","224","8","control","0","33","5","0","1","0","10","5","0","10","0","0","0","0","11","0","0","0","0","0","0"
"225","225","8","control","0","32","4","0","2","0","9","4","0","9","0","0","0","0","3","0","0","0","0","0","0"
"226","226","8","control","0","34","5","0","3","0","6","2","2","9","0","0","0","1","0","0","1","0","0","0","0"
"227","227","8","control","0","38","7","0","0","0","6","4","0","3","0","0","0","2","0","0","2","0","0","0","0"
"228","228","8","control","0","63","11","0","0","0","9","6","1","6","0","0","1","4","0","0","7","0","0","0","0"
"229","229","8","control","0","72","13","0","1","0","11","4","2","12","0","0","0","3","6","0","9","0","0","0","0"
"230","230","8","control","0","47","9","0","0","2","11","2","1","7","0","0","0","6","25","0","10","0","0","0","0"
"231","231","8","control","0","37","14","0","6","0","17","4","1","4","0","0","0","7","15","0","1","0","0","0","2"
"232","232","8","control","0","46","11","0","4","0","15","7","1","6","0","0","0","7","18","0","0","0","0","0","0"
"233","233","8","control","0","41","16","1","1","0","10","9","0","7","0","0","0","7","24","0","0","0","0","0","0"
"234","234","8","control","0","36","11","1","5","0","10","6","0","6","0","0","0","1","17","0","1","0","0","2","0"
"235","235","8","control","0","30","10","1","5","0","16","8","0","3","0","0","0","5","3","0","1","0","0","0","0"
"236","236","8","control","0","38","6","1","5","0","10","7","0","1","0","0","0","5","0","0","0","0","0","0","0"
"237","237","8","control","0","42","8","1","2","0","13","6","1","0","0","0","0","0","0","0","2","0","0","0","0"
"238","238","8","control","0","34","6","1","2","0","13","3","1","0","0","0","0","0","0","0","1","0","0","0","0"
"239","239","8","control","0","51","8","1","1","0","15","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"240","240","8","control","0","45","13","1","1","0","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"241","241","4","control","0","31","0","0","1","0","2","3","0","0","0","0","0","0","3","0","0","0","0","0","0"
"242","242","8","control","0","32","2","0","2","0","6","3","0","0","0","0","0","0","7","0","0","0","0","0","0"
"243","243","8","control","0","53","6","0","6","0","4","1","1","1","0","0","0","2","10","0","0","0","0","0","0"
"244","244","8","control","0","28","5","1","4","0","6","1","1","0","0","0","0","0","13","0","0","0","0","0","0"
"245","245","8","control","0","27","3","1","0","0","6","10","0","0","0","0","0","0","16","0","0","0","0","0","0"
